id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1146493517910421505,Wed Jul 03 18:58:50 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Do you: 
[ ] study #parasites like #malaria ?
[ ] want to learn #genomics? 
[ ] want to go to Uruguay?
If yes, chec… https://t.co/WhNqgfp9eS",Do study like want learn want go Uruguay If yes chec…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,3,0,erictdawson,False,"parasites, malaria, genomics",,"Washington, DC",
1146468439239909376,Wed Jul 03 17:19:10 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","With the rise of drug-resistant strains of #malaria, new innovations are desperately needed to meet the challenges… https://t.co/lDwbdKjMW4",With rise drug-resistant strains new innovations desperately needed meet challenges…,"Sentiment(polarity=-0.2318181818181818, subjectivity=0.7272727272727273)",-0.2318181818181818,0.7272727272727273,en,2,0,drpennyheaton,False,malaria,,"Cambridge, MA",
1146451034665029632,Wed Jul 03 16:10:01 +0000 2019,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Recent findings by Duke University may be a big step toward stopping #malaria parasites https://t.co/LFFVmu7Fhx,Recent findings Duke University may big step toward stopping parasites,"Sentiment(polarity=0.0, subjectivity=0.175)",0.0,0.175,en,0,0,PCOpro,False,malaria,,"Bay Shore, NY",
1146438943552000000,Wed Jul 03 15:21:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Banyan_Global: Our gender and youth team in #Uganda recently launched “Vijana Leo”, a community-based activity to promote the active ro…",Our gender youth team recently launched “ Vijana Leo ” community-based activity promote active ro…,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.425)",-0.06666666666666667,0.425,en,0,2,faryus88,False,Uganda,Banyan_Global,"Dar es Salaam, Tanzania",
1146437525868830720,Wed Jul 03 15:16:20 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Check out @MTaPS_Program recently published briefs and learn more about its work in areas including pharma-sector f… https://t.co/sK4zxQ1ySv,Check recently published briefs learn work areas including pharma-sector f…,"Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25,en,2,0,marg_to_world,False,,MTaPS_Program,"Washington, DC",
1146423348127305729,Wed Jul 03 14:20:00 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Our gender and youth team in #Uganda recently launched “Vijana Leo”, a community-based activity to promote the acti… https://t.co/wPtTumsVg7",Our gender youth team recently launched “ Vijana Leo ” community-based activity promote acti…,"Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25,en,2,2,Banyan_Global,False,Uganda,,"Washington, D.C.",
1146418292778815489,Wed Jul 03 13:59:55 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @brinatello: For #RedNoseDay 2015, #PeterCapaldi visited Malawi and read a 'death book' of many children contracting #malaria. Today, he…",For 2015 visited Malawi read 'death book many children contracting Today he…,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,10,HiddlesDoctor,,"RedNoseDay, PeterCapaldi, malaria",brinatello,Tardis ,
1146416464104218624,Wed Jul 03 13:52:39 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Our first Plenary Speakers have been confirmed for #ICID2020! @FaithOsier #malaria #immunologist of @iuis_online an… https://t.co/TBRb6bRILN,Our first Plenary Speakers confirmed an…,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,22,4,ISID_org,False,"ICID2020, malaria, immunologist","FaithOsier, iuis_online","Boston, MA",
1146371931261874176,Wed Jul 03 10:55:41 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fantastic to see the #UnitedKingdom #StepUpTheFight to End #HIV, #TB and #Malaria with a pledge to increase their s… https://t.co/QzUJXdKYEU",Fantastic see End pledge increase s…,"Sentiment(polarity=0.4, subjectivity=0.9)",0.4,0.9,en,1,1,mmcdonnellnets,False,"UnitedKingdom, StepUpTheFight, HIV, TB, Malaria",,,"[[-77.022864, 38.96569], [-76.9847886, 38.96569], [-76.9847886, 38.9982088], [-77.022864, 38.9982088]]"
1146351891280027648,Wed Jul 03 09:36:03 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @ISID_org: Check out the July issue of the International Journal of Infectious Diseases #IJID #InfectiousDiseases #OpenAccess #AMR #TB #…,Check July issue International Journal Infectious Diseases …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,IDAdvance,,"IJID, InfectiousDiseases, OpenAccess, AMR, TB",ISID_org,"London, England",
1146331604048056320,Wed Jul 03 08:15:26 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @abtassociates: Since the introduction of indoor residual spraying in 2017, the Mahama #Refugee Camp saw a 90% reduction in #malaria cas…",Since introduction indoor residual spraying 2017 Mahama Camp saw 90 reduction cas…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,misspdw,,"Refugee, malaria",abtassociates,"Rockville, MD",
1146255962686349312,Wed Jul 03 03:14:52 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @nothingbutnets: Hey wait! 👋 🛑

Before you head out on summer vacation, make sure you're staying protected from #malaria. Although malar…",Hey wait Before head summer vacation make sure 're staying protected Although malar…,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)",0.5,0.8888888888888888,en,0,2,EdsonAKodama,,malaria,nothingbutnets,"Westchester County, NY",
1146183226643406853,Tue Jul 02 22:25:50 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CCK_Law: Ex-Soldier Who Killed 16 Seeks New Trial in Civilian Court, Blames #Malaria Drug. #Mefloquine #Liriam https://t.co/DJVCRHUHU6",Ex-Soldier Who Killed 16 Seeks New Trial Civilian Court Blames Drug,"Sentiment(polarity=-0.03181818181818183, subjectivity=0.22727272727272727)",-0.03181818181818183,0.22727272727272727,en,0,2,johndowe49,False,"Malaria, Mefloquine, Liriam",CCK_Law,,
